angDist,ra,dec,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
1.352044,267.22029,-20.35869,17485281-2021323,267.220049,-20.35899,0.15000000596046448,0.10999999940395355,16.0,9.930999755859375,8.821999549865723,7.550000190734863,0.23899999260902405,0.2409999966621399,,EEU,226,2,2450950.8609
1.578188,267.22029,-20.35869,17485288-2021328,267.220348,-20.359125,0.14000000059604645,0.11999999731779099,158.0,8.868000030517578,7.783999919891357,8.529999732971191,,,0.12800000607967377,UUB,662,2,2450950.8609
3.699368,267.22029,-20.35869,17485264-2021294,267.219344,-20.358171,0.12999999523162842,0.11999999731779099,33.0,9.562000274658203,8.524999618530273,9.444999694824219,,,0.11900000274181366,UUB,662,2,2450950.8609
3.822922,267.22029,-20.35869,17485299-2021279,267.220825,-20.357754,0.07999999821186066,0.07000000029802322,7.0,10.755999565124512,9.725000381469727,9.286999702453613,0.13899999856948853,0.12700000405311584,0.10300000011920929,EBA,222,2,2450950.8609
4.576677,267.22029,-20.35869,17485255-2021326,267.218994,-20.359064,0.14000000059604645,0.12999999523162842,87.0,10.430999755859375,9.347999572753906,7.926000118255615,0.1589999943971634,0.3160000145435333,,CEU,226,2,2450950.8609
0.219609,274.83971,-25.42714,18192154-2525377,274.839773,-25.427162,0.05999999865889549,0.05999999865889549,90.0,9.368000030517578,8.430999755859375,7.919000148773193,0.024000000208616257,0.04399999976158142,0.035999998450279236,AAA,211,0,2451407.5033
1.633225,275.92229,-30.36572,18234133-3021582,275.922233,-30.366171,0.07999999821186066,0.07999999821186066,55.0,12.946999549865723,12.333999633789062,12.145000457763672,0.15600000321865082,0.22100000083446503,0.12700000405311584,EEE,222,2,2451021.7212
0.536998,283.26621,-8.70756,18530390-0842276,283.266284,-8.70769,0.05999999865889549,0.05999999865889549,45.0,12.182000160217285,11.534000396728516,11.380000114440918,0.05700000002980232,0.07100000232458115,0.06300000101327896,AAA,222,0,2451301.7945
1.178542,306.01575,33.86756,20240382+3352021,306.015944,33.867275,0.05999999865889549,0.05999999865889549,90.0,13.574999809265137,12.684000015258789,12.321000099182129,0.02500000037252903,0.027000000700354576,0.026000000536441803,AAA,222,0,2450948.9708
0.853178,322.493,12.16703,21295836+1210007,322.493171,12.166862,0.10000000149011612,0.07999999821186066,179.0,9.79800033569336,9.33899974822998,9.175999641418457,0.10899999737739563,0.15000000596046448,0.10000000149011612,EEA,222,0,2451080.6935
4.50395,322.493,12.16703,21295861+1210023,322.494242,12.167332,0.10000000149011612,0.07999999821186066,1.0,10.057000160217285,9.720000267028809,9.482999801635742,0.07699999958276749,0.13600000739097595,0.08799999952316284,EEE,222,0,2451080.6935
